,text,color,size,position,time,sn,userid
457,到底是在紅怎樣的啊,#FFFFFF,1,0,795,42555325,Lucy08070807
458,兄弟～,#FFFFFF,1,0,798,39663830,wuted
459,笑屎🤣🤣🤣,#FFFFFF,1,0,800,43256091,ox22081
460,嗨 晚安,#FFFFFF,1,0,801,44440682,jimmy0416
461,啊？,#BEBEBE,0,0,806,43333490,yiling0807
462,要撐到13-14集才開始有劇情喔~~~~,#FF0026,1,0,810,44049557,leteargerbob
463,體感10秒,#FFFFFF,1,0,816,39006895,homo760123
464,體感三十秒,#FFFFFF,1,0,817,41939969,g1080109
465,蛤,#FF0026,1,0,820,40789340,jasonlin0331
466,蛤,#00C3FC,2,0,820,44340361,yuye00571
467,這..🔚了，看了😔💬,#FFFFFF,1,0,825,44207085,Aa5709453
468,母災,#FFFFFF,1,0,826,42025785,snowball1292
469,貓,#FFFFFF,1,0,827,43754918,s1080025
470,我的泡麵還沒好,#FFFFFF,1,0,828,41982739,bear508
471,才1分鐘 我要看30秒的廣告？,#FFFFFF,1,0,832,39229289,joanne789
472,好可愛呀\(//∇//)\,#FDE53D,1,0,835,40557924,WWWW1108
473,體感一分鐘,#FFFFFF,1,0,836,42573056,xinghe820
474,我也是為了吉伊買會員😂😂,#FFFFFF,1,0,840,42597770,loenyen73
475,所以為啥彈幕要一直兄弟的( ･᷄ὢ･᷅ )？,#FFFFFF,1,2,846,43683954,annana566
476,體感20秒,#FFFFFF,1,0,850,41270194,YEYU8964
477,我買免廣告了,#FFFFFF,1,0,857,41325318,J310923
478,啊啊啊啊,#FF9625,2,2,863,42532179,rosa0812
479,沒有了哈哈哈ㄏ阿,#FFFFFF,1,0,863,44179863,g840483938
480,兄弟,#FDE53D,1,0,865,39118447,a38395654a
481,為什麼要一直兄弟的( ･᷄ὢ･᷅ ),#FFFFFF,1,0,865,42802663,Melody122
482,诶,#FF0026,1,0,866,44529573,st5109185
483,OK.......,#FFFFFF,1,0,871,38042307,AS52302100
484,掰掰 晚安,#FFFFFF,1,0,871,44440684,jimmy0416
485,為了吉伊卡哇第一次買了會員👍,#FFFFFF,1,0,874,40442519,acgn75410302
486,小八💗,#FFFFFF,1,0,874,43182188,yinqiancai02
487,泡泡驗超市和看,#FFFFFF,1,0,876,44179856,g840483938
488,ZMB,#FFFFFF,1,0,877,42527612,ZED8090
489,兄弟有事請轉身,#FFFFFF,1,0,890,44754781,D0690422
490,😀,#00C3FC,1,0,898,40894473,kekerry75
491,沒了？？？？,#FFFFFF,1,0,901,42188563,linzzi
492,哈,#FF0026,1,0,901,44529579,st5109185
